Keyphrase,Score_Charcot,Score_Autres,Score_Moyen,Renvoie_a,Dans_Reference,Sources_Charcot,Sources_Autres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asile d' aliénées,0.785,0.798,0.792,,,CN_000038_010_texte.txt, CN_000053_025_texte.txt, CN_000056_028_texte.txt, CN_000057_029_texte.txt, CN_000069_011_texte.txt, CN_000077_019_texte.txt,CH_00000088_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
action des puissances muscu- laires,0.795,0.79,0.792,,,CN_000035_007_texte.txt,CY_000098_004_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hallucinations hypnagogiques,0.794,0.789,0.792,,,CL_000001_003_texte.txt, CL_000009_002_texte.txt, CN_000046_018_texte.txt, CN_000048_020_texte.txt, CN_000049_021_texte.txt, CN_000050_022_texte.txt, CN_000056_028_texte.txt, CN_000068_010_texte.txt, CN_000074_016_texte.txt,CH_00000080_texte.txt, CH_00000081_texte.txt, CH_00000085_texte.txt, CH_00000093_texte.txt, CH_00000094_texte.txt, CH_00000100_texte.txt, CO_000093_011_texte.txt, CS_000004_004_texte.txt, CY_000104_010_texte.txt, CY_000106_012_texte.txt, CY_000110_016_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
examen histologique.-,0.802,0.782,0.792,,,CN_000067_009_texte.txt,CY_000104_010_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
altérations histologiques,0.767,0.817,0.792,,,CN_000029_001_texte.txt, CN_000041_013_texte.txt,CS_000016_016_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
périodes d' exacerbation,0.795,0.789,0.792,,,CN_000055_027_texte.txt, CN_000073_015_texte.txt,CS_000025_025_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asile d' idiots,0.783,0.8,0.792,,,CN_000033_005_texte.txt, CN_000038_010_texte.txt, CN_000039_011_texte.txt, CN_000041_013_texte.txt, CN_000042_014_texte.txt, CN_000045_017_texte.txt, CN_000050_022_texte.txt, CN_000059_001_texte.txt, CN_000069_011_texte.txt, CN_000080_022_texte.txt,CY_000104_010_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asiles d' idiots,0.779,0.806,0.792,,,CN_000035_007_texte.txt, CN_000038_010_texte.txt, CN_000053_025_texte.txt, CN_000059_001_texte.txt, CN_000069_011_texte.txt, CN_000076_018_texte.txt,CY_000104_010_texte.txt, CY_000114_020_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
signes d' auscultation,0.782,0.802,0.792,,,CL_000001_005_texte.txt, CN_000065_007_texte.txt, CN_000077_019_texte.txt,CY_000117_023_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cas d' hydrocéphalie chronique,0.798,0.786,0.792,,,CN_000052_024_texte.txt,CS_000025_025_texte.txt, CY_000098_004_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
symptômes d' empoisonnement,0.779,0.805,0.792,,,CN_000056_028_texte.txt,CH_00000098_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aliénés sitiophobes,0.801,0.781,0.791,,,CN_000053_025_texte.txt,CO_000093_011_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atteinte d' hyperplasie,0.774,0.808,0.791,,,CN_000040_012_texte.txt,CY_000101_007_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asymétrie des hémisphères,0.786,0.796,0.791,,,CN_000039_011_texte.txt, CN_000076_018_texte.txt,CS_000005_005_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
observations d' épileptiques,0.795,0.787,0.791,,,CN_000033_005_texte.txt, CN_000037_009_texte.txt, CN_000052_024_texte.txt, CN_000067_009_texte.txt,CY_000099_005_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mouvements d' athétose,0.791,0.791,0.791,,,CN_000042_014_texte.txt,CS_000010_010_texte.txt, CY_000099_005_texte.txt, CY_000102_008_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inspecteurs royaux,0.784,0.797,0.791,,,CN_000059_001_texte.txt,CY_000110_016_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
millimètres d' écartement,0.79,0.793,0.791,,,CN_000059_001_texte.txt,CS_000012_012_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
signes d' intoxication,0.775,0.806,0.791,,,CN_000065_007_texte.txt, CN_000068_010_texte.txt,CY_000114_020_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
précocité d' apparition,0.794,0.788,0.791,,,CN_000054_026_texte.txt,CS_000028_028_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hydrorrhée nasale,0.777,0.805,0.791,,,CN_000070_012_texte.txt,CS_000024_024_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
signes d' asphyxie,0.793,0.79,0.791,,,CN_000030_002_texte.txt, CN_000050_022_texte.txt,CS_000027_027_texte.txt, CY_000101_007_texte.txt, CY_000106_012_texte.txt, CY_000115_021_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exemple d' ataxie locomotrice,0.795,0.788,0.791,,,CL_000001_002_texte.txt,CS_000019_019_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urée par litre,0.793,0.789,0.791,,,CN_000047_019_texte.txt,CY_000101_007_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
différences d' inclinaison,0.794,0.788,0.791,,,CN_000076_018_texte.txt,CY_000118_024_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
production d' hallucinations,0.801,0.78,0.79,,,CN_000051_023_texte.txt,CH_00000085_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fait d' hérédité,0.796,0.784,0.79,,,CN_000033_005_texte.txt, CN_000034_006_texte.txt,CH_00000083_texte.txt, CY_000098_004_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
néphrite parenchymateuse aiguë,0.784,0.795,0.79,,,CN_000066_008_texte.txt,CS_000026_026_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
type d' hystérie,0.79,0.79,0.79,,,CN_000060_002_texte.txt,CS_000004_004_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scissure occipitale transverse,0.792,0.788,0.79,,,CN_000042_014_texte.txt,CY_000102_008_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phénomènes d' engourdissement,0.799,0.78,0.79,,,CN_000046_018_texte.txt,CS_000006_006_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dégénérescence fibreuse,0.81,0.769,0.79,,,CN_000047_019_texte.txt,CO_000090_008_texte.txt, CS_000011_011_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inoculation des microbes,0.8,0.779,0.79,,,CN_000069_011_texte.txt,CO_000091_009_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
éloges de m.,0.791,0.79,0.79,,,CN_000045_017_texte.txt,CH_00000085_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
étiologie du myxoedème opéra-,0.782,0.798,0.79,,,CN_000040_012_texte.txt,CY_000101_007_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inoculations antirabiques,0.781,0.799,0.79,,,CN_000066_008_texte.txt,CH_00000089_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
morts en bas-âge,0.782,0.796,0.789,,,CN_000070_012_texte.txt,CY_000108_014_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asiles d' aliénés,0.79,0.789,0.789,,,CN_000029_001_texte.txt, CN_000030_002_texte.txt, CN_000031_003_texte.txt, CN_000032_004_texte.txt, CN_000033_005_texte.txt, CN_000034_006_texte.txt, CN_000035_007_texte.txt, CN_000036_008_texte.txt, CN_000037_009_texte.txt, CN_000038_010_texte.txt, CN_000039_011_texte.txt, CN_000040_012_texte.txt, CN_000041_013_texte.txt, CN_000042_014_texte.txt, CN_000043_015_texte.txt, CN_000044_016_texte.txt, CN_000045_017_texte.txt, CN_000046_018_texte.txt, CN_000047_019_texte.txt, CN_000048_020_texte.txt, CN_000049_021_texte.txt, CN_000050_022_texte.txt, CN_000051_023_texte.txt, CN_000052_024_texte.txt, CN_000053_025_texte.txt, CN_000054_026_texte.txt, CN_000055_027_texte.txt, CN_000056_028_texte.txt, CN_000057_029_texte.txt, CN_000058_030_texte.txt, CN_000059_001_texte.txt, CN_000060_002_texte.txt, CN_000061_003_texte.txt, CN_000062_004_texte.txt, CN_000063_005_texte.txt, CN_000064_006_texte.txt, CN_000065_007_texte.txt, CN_000066_008_texte.txt, CN_000067_009_texte.txt, CN_000068_010_texte.txt, CN_000069_011_texte.txt, CN_000070_012_texte.txt, CN_000071_013_texte.txt, CN_000072_014_texte.txt, CN_000073_015_texte.txt, CN_000074_016_texte.txt, CN_000075_017_texte.txt, CN_000076_018_texte.txt, CN_000077_019_texte.txt, CN_000078_020_texte.txt, CN_000079_021_texte.txt, CN_000080_022_texte.txt, CN_000081_001_texte.txt, CN_000082_002_texte.txt,CH_00000077_texte.txt, CH_00000078_texte.txt, CH_00000080_texte.txt, CH_00000081_texte.txt, CH_00000082_texte.txt, CH_00000086_texte.txt, CH_00000087_texte.txt, CH_00000088_texte.txt, CH_00000090_texte.txt, CH_00000092_texte.txt, CH_00000093_texte.txt, CH_00000094_texte.txt, CH_00000095_texte.txt, CH_00000096_texte.txt, CH_00000097_texte.txt, CH_00000098_texte.txt, CH_00000099_texte.txt, CH_00000100_texte.txt, CO_000093_011_texte.txt, CS_000014_014_texte.txt, CS_000018_018_texte.txt, CY_000095_001_texte.txt, CY_000097_003_texte.txt, CY_000099_005_texte.txt, CY_000103_009_texte.txt, CY_000105_011_texte.txt, CY_000106_012_texte.txt, CY_000109_015_texte.txt, CY_000111_017_texte.txt, CY_000112_018_texte.txt, CY_000113_019_texte.txt, CY_000115_021_texte.txt, CY_000116_022_texte.txt, CY_000118_024_texte.txt, CY_000119_001_texte.txt,,,,,,,,,,,,
société d' hypnologie,0.798,0.78,0.789,,,CN_000050_022_texte.txt,CH_00000081_texte.txt, CH_00000082_texte.txt, CH_00000083_texte.txt, CH_00000084_texte.txt, CH_00000087_texte.txt, CH_00000088_texte.txt, CH_00000089_texte.txt, CH_00000090_texte.txt, CH_00000091_texte.txt, CH_00000093_texte.txt, CH_00000094_texte.txt, CH_00000096_texte.txt, CH_00000097_texte.txt, CH_00000098_texte.txt, CH_00000099_texte.txt, CH_00000100_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phénomènes d' aphasie,0.796,0.782,0.789,,,CN_000080_022_texte.txt,CS_000018_018_texte.txt, CS_000021_021_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hémiplégiques par lésion,0.789,0.788,0.789,,,CL_000004_001_texte.txt,CO_000093_011_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
divergences d' interprétation,0.776,0.802,0.789,,,CN_000071_013_texte.txt,CH_00000091_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathogénie des hémorrhagies,0.812,0.767,0.789,,,CN_000032_004_texte.txt,CS_000020_020_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
intégrité des ganglions,0.779,0.798,0.789,,,CN_000069_011_texte.txt,CS_000019_019_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paraplégie spasmodique infantile,0.765,0.814,0.789,,,CN_000061_003_texte.txt, CN_000062_004_texte.txt,CY_000111_017_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paraplégie flasque complète,0.78,0.798,0.789,,,CN_000067_009_texte.txt,CS_000018_018_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accès d' excita- tion,0.803,0.774,0.789,,,CN_000072_014_texte.txt,CO_000093_011_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attaques d' hystérie,0.785,0.792,0.789,,,CL_000001_001_texte.txt, CL_000001_002_texte.txt, CL_000001_003_texte.txt, CL_000001_008_texte.txt, CL_000001_009_texte.txt, CL_000004_001_texte.txt, CL_000005_001_texte.txt, CL_000005_002_texte.txt, CL_000009_002_texte.txt, CN_000032_004_texte.txt, CN_000035_007_texte.txt, CN_000036_008_texte.txt, CN_000037_009_texte.txt, CN_000038_010_texte.txt, CN_000040_012_texte.txt, CN_000042_014_texte.txt, CN_000043_015_texte.txt, CN_000045_017_texte.txt, CN_000047_019_texte.txt, CN_000049_021_texte.txt, CN_000050_022_texte.txt, CN_000052_024_texte.txt, CN_000053_025_texte.txt, CN_000056_028_texte.txt, CN_000058_030_texte.txt, CN_000061_003_texte.txt, CN_000064_006_texte.txt, CN_000068_010_texte.txt, CN_000069_011_texte.txt, CN_000071_013_texte.txt, CN_000076_018_texte.txt, CN_000080_022_texte.txt, CN_000081_001_texte.txt, CN_000082_002_texte.txt,CH_00000079_texte.txt, CH_00000080_texte.txt, CH_00000081_texte.txt, CH_00000082_texte.txt, CH_00000083_texte.txt, CH_00000085_texte.txt, CH_00000086_texte.txt, CH_00000088_texte.txt, CH_00000089_texte.txt, CH_00000095_texte.txt, CH_00000098_texte.txt, CL_000007_001_texte.txt, CO_000090_008_texte.txt, CS_000001_001_texte.txt, CS_000002_002_texte.txt, CS_000003_003_texte.txt, CS_000004_004_texte.txt, CS_000005_005_texte.txt, CS_000006_006_texte.txt, CS_000008_008_texte.txt, CS_000011_011_texte.txt, CS_000016_016_texte.txt, CY_000095_001_texte.txt, CY_000097_003_texte.txt, CY_000101_007_texte.txt, CY_000103_009_texte.txt, CY_000106_012_texte.txt, CY_000109_015_texte.txt, CY_000113_019_texte.txt, CY_000114_020_texte.txt, CY_000118_024_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fait d' épilepsie,0.794,0.784,0.789,,,CN_000079_021_texte.txt,CY_000120_001_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hospice des enfants- assistés,0.803,0.776,0.789,,,CN_000033_005_texte.txt, CN_000047_019_texte.txt, CN_000048_020_texte.txt,CY_000107_013_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mort par asphyxie,0.794,0.785,0.789,,,CN_000042_014_texte.txt, CN_000049_021_texte.txt, CN_000053_025_texte.txt,CS_000003_003_texte.txt, CY_000103_009_texte.txt, CY_000108_014_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
degré d' amaigrissement,0.79,0.788,0.789,,,CN_000041_013_texte.txt, CN_000048_020_texte.txt,CS_000003_003_texte.txt, CS_000014_014_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coexistence d' altérations,0.8,0.778,0.789,,,CN_000070_012_texte.txt,CS_000014_014_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
système d' auto-suggestions,0.781,0.797,0.789,,,CN_000082_002_texte.txt,CH_00000098_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
puissance d' accommodation,0.796,0.78,0.788,,,CN_000036_008_texte.txt,CO_000093_011_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cas d' ataxie locomotrice,0.784,0.792,0.788,,,CL_000001_001_texte.txt, CL_000001_002_texte.txt, CL_000001_007_texte.txt, CL_000001_008_texte.txt, CL_000005_002_texte.txt, CL_000009_002_texte.txt, CN_000029_001_texte.txt, CN_000035_007_texte.txt, CN_000040_012_texte.txt, CN_000044_016_texte.txt, CN_000045_017_texte.txt, CN_000046_018_texte.txt, CN_000049_021_texte.txt,CH_00000080_texte.txt, CH_00000083_texte.txt, CS_000011_011_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exemple d' hystérie,0.78,0.796,0.788,,,CL_000004_001_texte.txt, CL_000005_001_texte.txt, CL_000005_002_texte.txt, CL_000009_002_texte.txt, CN_000049_021_texte.txt, CN_000062_004_texte.txt,CS_000004_004_texte.txt, CS_000007_007_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inégalité des hémisphères,0.791,0.786,0.788,,,CN_000029_001_texte.txt, CN_000067_009_texte.txt, CN_000076_018_texte.txt,CS_000015_015_texte.txt, CY_000095_001_texte.txt, CY_000115_021_texte.txt, CY_000117_023_texte.txt, CY_000118_024_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
loi d' hérédité,0.795,0.781,0.788,,,CN_000038_010_texte.txt, CN_000048_020_texte.txt, CN_000069_011_texte.txt,CS_000018_018_texte.txt, CS_000024_024_texte.txt, CY_000100_006_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
période d' hyperexcitabilité,0.79,0.786,0.788,,,CN_000066_008_texte.txt,CO_000093_011_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indice d' ivrognerie,0.78,0.797,0.788,,,CN_000038_010_texte.txt,CY_000100_006_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lèpre mutilante,0.81,0.766,0.788,,,CN_000064_006_texte.txt,CS_000003_003_texte.txt, CS_000010_010_texte.txt, CS_000023_023_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infiltration interstitielle,0.793,0.782,0.788,,,CN_000067_009_texte.txt, CN_000074_016_texte.txt,CO_000093_011_texte.txt, CS_000017_017_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
état d' hyperexcitabilité,0.777,0.798,0.788,,,CL_000001_009_texte.txt, CN_000030_002_texte.txt, CN_000031_003_texte.txt, CN_000037_009_texte.txt, CN_000047_019_texte.txt, CN_000075_017_texte.txt,CH_00000077_texte.txt, CH_00000078_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
état de léthargie,0.778,0.798,0.788,,,CN_000030_002_texte.txt, CN_000031_003_texte.txt, CN_000038_010_texte.txt,CH_00000077_texte.txt, CH_00000078_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inégalité de développement,0.785,0.79,0.788,,,CN_000033_005_texte.txt,CS_000011_011_texte.txt, CS_000014_014_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cas de m.,0.788,0.787,0.788,,,CN_000040_012_texte.txt, CN_000077_019_texte.txt,CS_000025_025_texte.txt, CY_000095_001_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
